model,perchip_mean,ci95_lo,ci95_hi
unetpp,0.318,0.2689,0.3681
unet,0.3069,0.2601,0.3547
unet_smp,0.2801,0.2307,0.331
spiking_unet_T10,0.2776,0.2272,0.3294
mobilenet_unet,0.277,0.2292,0.326
mobilenet_unet_lr5e5,0.2751,0.2264,0.3241
spiking_unet_T8,0.2748,0.2239,0.3272
segformer_b2,0.2733,0.2201,0.3273
spiking_unet_T4,0.2701,0.2241,0.3174
spiking_unet_T7,0.2692,0.2245,0.3164
spiking_unet_T8_lr2e4,0.2687,0.2225,0.3161
mobilenet_unet_lr2e4,0.2617,0.2142,0.3108
mobilenet_int8,0.2552,0.2081,0.3045
spiking_unet_T5,0.253,0.2071,0.3005
spiking_unet_lr2e4,0.253,0.2121,0.2955
spiking_unet_T3,0.2479,0.2053,0.2919
spiking_unet_T2,0.2431,0.1989,0.2903
spiking_unet_T6,0.2299,0.1888,0.2723
spiking_unet_T2_lr2e4,0.2286,0.187,0.2731
spiking_unet_lr5e5,0.1967,0.1598,0.236
ann2snn_T128,0.1773,0.1445,0.2108
spiking_unet_T1,0.1682,0.1316,0.2088
deeplabv3,0.1631,0.1227,0.2065
ann2snn_T64,0.1112,0.088,0.1355
ann2snn_T32,0.0147,0.0086,0.0215
