model,Bolivia,Ghana,India,Mekong,Nigeria,Pakistan,Paraguay,Somalia,Spain,Sri-Lanka,USA,MEAN
unetpp,0.4713,0.3591,0.2794,0.5001,0.3582,0.2827,0.2786,0.2663,0.3517,0.2053,0.3258,0.3344
unet,0.4961,0.3805,0.2946,0.4332,0.339,0.1682,0.2748,0.2874,0.3662,0.1909,0.3,0.321
unet_smp,0.458,0.3245,0.2373,0.4964,0.3416,0.1274,0.2908,0.2832,0.3133,0.1527,0.2494,0.2977
spiking_unet_T10,0.5325,0.3419,0.2196,0.3715,0.2898,0.1713,0.239,0.2575,0.3577,0.1593,0.3168,0.2961
mobilenet_unet,0.4375,0.361,0.2608,0.5012,0.3705,0.1407,0.2542,0.2065,0.31,0.1578,0.2336,0.294
mobilenet_unet_lr5e5,0.3907,0.3365,0.249,0.4806,0.3408,0.1865,0.2425,0.2615,0.3363,0.1465,0.2479,0.2926
spiking_unet_T8,0.5337,0.3353,0.2248,0.3644,0.2768,0.1608,0.248,0.2612,0.3369,0.1658,0.3037,0.292
segformer_b2,0.5032,0.3852,0.2146,0.4815,0.3444,0.2485,0.2282,0.3116,0.2958,0.1441,0.2257,0.3075
spiking_unet_T4,0.499,0.3213,0.213,0.3488,0.3023,0.1474,0.2522,0.2561,0.3412,0.1588,0.3055,0.286
spiking_unet_T7,0.5206,0.3317,0.2232,0.3558,0.3167,0.1511,0.2376,0.2729,0.3333,0.1699,0.2753,0.2898
spiking_unet_T8_lr2e4,0.5017,0.3074,0.2174,0.3716,0.2842,0.1613,0.2562,0.2587,0.3259,0.1528,0.2945,0.2847
mobilenet_unet_lr2e4,0.4478,0.2914,0.2444,0.472,0.3463,0.1845,0.219,0.2702,0.3244,0.1566,0.196,0.2866
mobilenet_int8,0.4567,0.284,0.227,0.4719,0.3363,0.2211,0.2222,0.265,0.299,0.1273,0.1967,0.2825
spiking_unet_T5,0.4986,0.2931,0.1935,0.3232,0.2701,0.1686,0.2329,0.2328,0.337,0.1353,0.2903,0.2705
spiking_unet_lr2e4,0.4613,0.3053,0.2072,0.3139,0.2732,0.1411,0.2417,0.2482,0.3048,0.1489,0.2856,0.2665
spiking_unet_T3,0.4741,0.3122,0.2102,0.3536,0.2972,0.1484,0.2071,0.2483,0.2844,0.1552,0.2529,0.2676
spiking_unet_T2,0.4638,0.2772,0.195,0.3318,0.2896,0.1917,0.1799,0.2143,0.3358,0.1164,0.289,0.2622
spiking_unet_T6,0.4684,0.2702,0.2069,0.3082,0.2754,0.1331,0.2049,0.2234,0.2724,0.1361,0.2252,0.2477
spiking_unet_T2_lr2e4,0.4454,0.2425,0.1798,0.3138,0.2599,0.1818,0.1936,0.2001,0.3151,0.1024,0.2673,0.2456
spiking_unet_lr5e5,0.4306,0.2163,0.1664,0.2784,0.2445,0.1148,0.1635,0.1938,0.2441,0.1081,0.2025,0.2148
ann2snn_T128,0.2768,0.1971,0.1209,0.32,0.1975,0.0746,0.132,0.1581,0.2566,0.1209,0.2094,0.1876
spiking_unet_T1,0.4133,0.165,0.1384,0.2364,0.204,0.1519,0.1404,0.1465,0.2304,0.0403,0.1877,0.1868
deeplabv3,0.3427,0.1511,0.1171,0.3613,0.2857,0.1374,0.0906,0.178,0.2402,0.078,0.1283,0.1918
ann2snn_T64,0.1872,0.1,0.0549,0.1763,0.1197,0.0957,0.087,0.0697,0.2156,0.0206,0.1715,0.118
ann2snn_T32,0.0138,0.0281,0.0071,0.0125,0.0154,0.0037,0.006,0.0025,0.0521,0.0,0.0249,0.0151
