model,n,flood_IoU,flood_IoU_std,flood_IoU_chip,flood_F1,pw_IoU,mIoU,params_M,compute_G,energy_mJ,spike_rate,is_snn
unetpp,3,0.488834544175009,0.02375033692259794,0.3179681044004147,0.6563216976114127,0.7679,0.7329418287921108,26.076,73.711,339.0692,0.0,False
segformer_b2,3,0.4880241870489033,0.012662691699884016,0.2733165642846255,0.6558379627450022,0.7738,0.7362717310183321,24.72,21.309,98.0196,0.0,False
unet_smp,3,0.47621124076682,0.023114627918269532,0.2801109563815312,0.6448514161930441,0.7477,0.7229209850891155,24.434,31.293,143.9462,0.0,False
mobilenet_unet_lr2e4,3,0.46479098947295,0.008968239906581658,0.2617260621280815,0.6345660867450625,0.7163666666666666,0.706973252840346,6.629,13.621,62.6575,0.0,False
mobilenet_int8,3,0.46364999857902767,0.007259375762791376,0.2551704886532756,0.6335193706063454,0.7202333333333333,0.7082657055815762,6.629,13.621,3.1329,0.0,False
mobilenet_unet,3,0.4620966799239021,0.005130309766625685,0.27695651087934064,0.6320845220464132,0.7510666666666667,0.7186608827305118,6.629,13.621,62.6575,0.0,False
mobilenet_unet_lr5e5,3,0.4498407841056404,0.014771610110558393,0.27511517778916317,0.6203959460681935,0.7333666666666666,0.7083881763569537,6.629,13.621,62.6575,0.0,False
unet,3,0.44445225744948197,0.011322324900913703,0.3069176492061385,0.6153071196209138,0.5696333333333333,0.6511695879633405,7.763,48.53,223.2377,0.0,False
deeplabv3,3,0.38750673797393037,0.010671350453028484,0.163125486546665,0.5584802484236052,0.6105999999999999,0.6341050159256388,26.004,109.203,502.3328,0.0,False
spiking_unet_T10,3,0.3538429425101362,0.011938290919071306,0.2776042713508981,0.5226088394558447,0.1733,0.4868978805775967,7.763,208.952,188.0566,0.2025,True
spiking_unet_T8,3,0.34167182618491204,0.01006208259289785,0.274754560590509,0.5092386716478466,0.1085,0.460275340133623,7.763,182.846,164.5613,0.2462333333333333,True
spiking_unet_T2,3,0.3401227449927016,0.027404284359996724,0.24310581895461103,0.5069834137078484,0.14993333333333334,0.47205507685608716,7.763,36.87,33.1827,0.14853333333333332,True
spiking_unet_T4,3,0.33897324724646277,0.025601111675084137,0.2700614214504329,0.5057767519132416,0.2769,0.5161817068419187,7.763,73.33,65.9967,0.13303333333333334,True
spiking_unet_T7,3,0.3382728698726199,0.01711751141451112,0.26916291684919447,0.5052898720917539,0.24183333333333332,0.5030522563123533,7.763,126.347,113.7127,0.23923333333333333,True
spiking_unet_T5,3,0.3372817554534761,0.014704683286335635,0.2530351941437236,0.5042466309830034,0.2416,0.5047107980995165,7.763,95.245,85.7201,0.1844,True
spiking_unet_T8_lr2e4,3,0.3322300713144911,0.019857701281638385,0.26865947714502786,0.49842744589329707,0.20356666666666667,0.48802560736210454,7.763,145.888,131.299,0.22113333333333332,True
spiking_unet_T3,3,0.32261738915552024,0.01542553620979189,0.2479154836461205,0.48764237157135,0.2806666666666667,0.5080839399204142,7.763,65.412,58.8706,0.1922,True
spiking_unet_T2_lr2e4,3,0.3158124897596727,0.012495768592548206,0.22859759137674437,0.4798889270331777,0.17006666666666667,0.47126274015057373,7.763,34.693,31.2238,0.14206666666666667,True
spiking_unet_lr2e4,3,0.31468886003287083,0.017656256824974435,0.2530220420235629,0.47845564650078626,0.3112333333333333,0.5194985856091285,7.763,85.303,76.7728,0.16596666666666668,True
spiking_unet_T6,5,0.2829684517358163,0.09701170748507536,0.22993107253239606,0.4311485938678564,0.14374,0.39885828589340944,7.763,131.33,118.1966,0.26626,True
ann2snn_T128,3,0.26332625481837163,0.14566469625067893,0.17731742666295938,0.3937841224906408,0.4963666666666667,0.5325539732282879,24.415,490.201,441.1812,0.10873333333333333,True
spiking_unet_lr5e5,3,0.24661397014481481,0.11354158160728657,0.19674811433228154,0.38135689356334374,0.19873333333333335,0.3557133939246549,7.763,73.773,66.3959,0.13726666666666668,True
spiking_unet_T1,3,0.23577307555083257,0.10151253962905664,0.1682006485496876,0.3699048408886026,0.10026666666666666,0.3322360154008337,7.763,20.903,18.813,0.1764,True
ann2snn_T64,3,0.1756637399518194,0.11635252657814235,0.11118828018350302,0.28073042750221294,0.46213333333333334,0.5214994638146299,24.415,233.374,210.0368,0.10533333333333333,True
ann2snn_T32,3,0.0230957730984552,0.015396951352083806,0.014677426861424711,0.044704337072418804,0.24570000000000003,0.3861396482688426,24.415,105.552,94.9968,0.09023333333333333,True
